,channel,videoId,videoKind,publishedDateTime,videoTitle,playlistId,categoryId,duration,viewCount,likeCount,dislikeCount,score,participantId,numOfVotes,mean,std
0,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,--6T95cQa50,youtube#video,2018-09-27T18:06:19.000Z,How Did Rickrolling Start? (And Did Rick Astley Really Only Make $12 Off the Meme),UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT10M41S,289863.0,9381.0,183.0,"0, 0","['A86CAG3LG83GG', 'A36SUOEMOIXFSO']",2,0.0,0.0
1,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,--tloYRgAmQ,youtube#video,2018-05-27T17:00:01.000Z,The Angel of Death,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT9M8S,423743.0,10320.0,354.0,"0, 0","['AA4KKLIU4C3NY', 'AYMJAMX7Z7YHG']",2,0.0,0.0
2,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-0ItKiW7AQc,youtube#video,2018-05-04T14:00:01.000Z,Will This Superbug Destroy Us All?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT7M44S,152102.0,3824.0,99.0,"0, 0","['A2Z0V2A4SP5QE0', 'A2CS92S5XOYS3B']",2,0.0,0.0
3,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-169Ut9JSJk,youtube#video,2019-03-22T01:15:00.000Z,"Why You Don't Want To Make More Than $75,000",UUfdNM3NAhaBOXCafH7krzrA,27.0,PT10M21S,317573.0,6891.0,490.0,"0, 1","['A1SNX9NBRRIVON', 'A3NNWJI1G86RJ2']",2,0.5,0.5
4,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-1IbLTa5XLo,youtube#video,2019-04-22T20:15:00.000Z,The United States (USA) vs Asia - Who Would Win? | Military / Army Comparison,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT11M36S,287178.0,6219.0,2008.0,"0, 0, 0","['A16QZSBYXE5VY8', 'AIUKV0KVALMY6', 'A3MIMTJL7OVXJB']",3,0.0,0.0
5,UCZYTClx2T1of7BRZ86-8fow | SciShow,-1P0HKfTrfY,youtube#video,2018-06-07T21:00:00.000Z,"What Growing Mini Brains Has Taught Us, And What's Next",UUZYTClx2T1of7BRZ86-8fow,27.0,PT5M4S,151853.0,5898.0,295.0,0,['A2XPWASDT8AYXH'],1,0.0,0.0
6,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,-1PF_1aaUmg,youtube#video,2016-07-09T14:03:09.000Z,10 Kids Who EMBARRASSED Their Parents,UURyIP2oznv4UPAl1jmKS5kA,24.0,PT4M22S,1474095.0,5927.0,538.0,"1, 2","['AXHC7OMH8XE9U', 'A16QZSBYXE5VY8']",2,1.5,0.5
7,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,-1n83OAgPp4,youtube#video,2016-11-13T20:13:37.000Z,7 Surprising Ways Birth Order Affects Us,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT4M4S,380604.0,9239.0,681.0,0,['A24RQYIDMV7OPK'],1,0.0,0.0
8,UCLXo7UDZvByw2ixzpQCufnA | Vox,-1y8Nq0ndsk,youtube#video,2019-02-06T13:00:00.000Z,"A murder solved, 23 years later | Part 3",UULXo7UDZvByw2ixzpQCufnA,25.0,PT13M3S,603381.0,23869.0,271.0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3","['A20NITCOBY4775', 'A17FDM5CXENC1O', 'A27U34JQKVDTA3', 'A2QP9ZGIW4R7C2', 'A37Z5PZ4B7VO49', 'AHFGWXN0A2PJM', 'A2YTJQ7RCNDXBF', 'AE63GABJL0FGJ', 'A2WYCY1FMQOD5F', 'A2I43BDUPAM00C', 'A140DTJHRHQM4F', 'A2HJDLSU95MH8Q', 'A34WIUP7WCM3WB', 'AYXDE087J2KO', 'AUU3FYNZXKENO', 'AQOUDUI0O8CI0', 'A3CBASFBSQTYMS', 'AS6U5AB31C0E6', 'ARFQ8FJRKCUZ6', 'A34KBIYMGPH924', 'A31XT6RPLN6359', 'A2FJH5IO586MR3', 'AT0HCQ06QZN7Q', 'A2TXC8Q2IFGRXH', 'AWKP0M7G5BBCC', 'AK21UZISRI0ZB', 'A28PZF7KB8FL7Z', 'A3SKAVLZCRR07H', 'A24U4V1X87FO7B', 'A2LV5432PV1S39', 'A1F1TBDHPYAAXT', 'A18G2CLYSTENK', 'A12FTSX85NQ8N9', 'AUB2Y2EREGBUZ ', 'A1CUK9RG3RW1DY', 'A2XALDG2EOF7G3', 'A174BCWX0VMM1B', 'A1SWV4X4PD25S1', 'AKX5RHHO8BIUX', 'A340UNNVUZMEZF', 'ALK8GA6GSXQMQ', 'A1I7H6RDJS4EKN', 'A2YK1CCUXNZOJ1', 'A1LRDHZZUVF9AZ', 'A22I5RTLJTY3JZ', 'A3U2UNSYDPS933', 'A1GQRJVWSIT2RC', 'A1QX1RYLCFXZJ9', 'AAJ1ZQECDZBEE', 'A36XG2BJZH6ZKJ', 'A8NFLCEXUSFDM', 'A2EPBSY0VPI38S', 'A1FLLV4JX5FOAY', 'AV7A20KYBTQHL', 'ABYCLZ0DMS8YK', 'A2QRB6L1MCJ53G', 'A2MYLV7DGUL42B', 'A2WX227WZ2TRZF', 'A2JPOXYZM5AJZZ', 'A3P04JZJNOYILR', 'A14M2EERU7E8KD', 'A1SMYB7YESWB29', 'AH31QLJ57XC8W', 'A2LV5432PV1S39', 'A3GR8MTLTV0QW6', 'ANOMRFAP2YMQS', 'A10VX0V3HKGBIY', 'ACF8CYOJ1P4GC', 'A1A6UVH1CCP8CD', 'A28EZTFIIDESKT', 'A33WFDFA0473QG', 'AKIYW277SZVE5', 'A37O30WLLHE8QT', 'A17TKHT8FEVH0R', 'AP4A0MZOKR52J', 'A2C59WG3U48S6O', 'A2Z0M7DS01VZ24', 'A39EBLPHUIPAFH', 'AJY5G987IRT25', 'AQKC1VIZAZ6VI', 'A23G1L7KYHK9F2', 'AA4KKLIU4C3NY', 'A23G1L7KYHK9F2', 'A34HSPNUYSHSR', 'A2JFRYBOBPP5R0', 'A2JGWDPGYD5X0N']",84,0.6627906976744186,0.7565291785866568
10,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-2Js7ZeFLt8,youtube#video,2017-07-12T17:00:21.000Z,Injustice 2: Trauma Survival - Harley Quinn's Greatest Fear - Extra Credits,UUCODtTcd5M1JavPCOr_Uydg,20.0,PT7M36S,393797.0,20649.0,422.0,0,['A2KC0PSGG2OIQX'],1,0.0,0.0
